Product_Name,Brand,RAM,Offer,Ratings,Selling_Price,Total,Processor_Brand,Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
CHUWI Core i3 10th Gen ,CHUWI,8 GB,50% ,4.4,24990,49990,Intel,Intel Core i3 Processor (10th Gen)
Lenovo Athlon Dual Core 3050U ,Lenovo,4 GB,45% ,3.8,18999,35000,AMD,AMD Athlon Dual Core Processor
ASUS Chromebook Touch Intel Celeron Dual Core ,ASUS,4 GB,38% ,3.8,18990,30990,Intel,Intel Celeron Dual Core Processor
Lenovo Athlon Dual Core ,Lenovo,4 GB,50% ,3.8,18990,38000,AMD,AMD Athlon Dual Core Processor
Avita SATUS S111 Celeron Dual Core ,Avita,4 GB,45% ,3.7,16490,29990,Intel,Intel Celeron Dual Core Processor
ASUS Chromebook Touch Intel Celeron Dual Core ,ASUS,4 GB,40% ,3.9,17990,29990,Intel,Intel Celeron Dual Core Processor
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
Avita SATUS S111 Celeron Dual Core ,Avita,4 GB,45% ,3.7,16490,29990,Intel,Intel Celeron Dual Core Processor
ASUS EeeBook 12 Celeron Dual Core 4th Gen ,ASUS,4 GB,30% ,3.9,17990,25990,Intel,Intel Celeron Dual Core Processor (4th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,44% ,4.1,13990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
HP Chromebook MediaTek Kompanio 500 ,HP,4 GB,11% ,3.7,22490,25451,MediaTek,MediaTek MediaTek Kompanio 500 Processor
Lenovo Athlon Dual Core ,Lenovo,4 GB,36% ,4.7,18990,29999,AMD,AMD Athlon Dual Core Processor
Avita SATUS S111 Celeron Dual Core ,Avita,4 GB,45% ,3.7,16490,29990,Intel,Intel Celeron Dual Core Processor
Avita PURA E 14 Ryzen 5 Quad Core 3rd Gen ,Avita,8 GB,47% ,3.5,16990,32500,AMD,AMD Ryzen 5 Quad Core Processor (3rd Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,44% ,4.1,13990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
Avita PURA APU Dual Core A6 ,Avita,4 GB,34% ,3.6,18390,27990,AMD,AMD APU Dual Core A6 Processor
HP Chromebook MediaTek Kompanio 500 ,HP,4 GB,28% ,3.7,18250,25451,MediaTek,MediaTek MediaTek Kompanio 500 Processor
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
CHUWI Celeron Dual Core 10th Gen ,CHUWI,8 GB,42% ,4.2,19990,34990,Intel,Intel Celeron Dual Core Processor (10th Gen)
Lenovo IdeaPad 3 Chromebook Intel Celeron Dual Core ,Lenovo,4 GB,54% ,3.5,13990,30690,Intel,Intel Celeron Dual Core Processor
HP 247 G8 Athlon Dual Core ,HP,8 GB,28% ,3.7,23690,33267,AMD,AMD Athlon Dual Core Processor
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,7% ,4.1,24490,26390,Intel,Intel Celeron Quad Core Processor (11th Gen)
HP Athlon Dual Core 3050U ,HP,4 GB,26% ,3.8,21999,30099,AMD,AMD Athlon Dual Core Processor
ASUS VivoBook 14 (2021) Celeron Dual Core ,ASUS,4 GB,26% ,4.1,24990,33990,Intel,Intel Celeron Dual Core Processor
Lenovo Lenovo V15 Celeron Dual Core 4th Gen ,Lenovo,8 GB,44% ,3.9,23490,42032,Intel,Intel Celeron Dual Core Processor (4th Gen)
ASUS (2022) Celeron Dual Core ,ASUS,4 GB,32% ,4.2,20990,30990,Intel,Intel Celeron Dual Core Processor
HP Chromebook x360 Intel Celeron Dual Core ,HP,4 GB,28% ,4.1,22990,32295,Intel,Intel Celeron Dual Core Processor
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,38% ,4.1,24490,39990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,32% ,4.1,23490,34990,Intel,Intel Celeron Quad Core Processor (11th Gen)
