Product_Name,Total,Selling_Price,Offer,Ratings,Processor,Description
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen - (4 GB/128 GB SSD/Windows 11 Home) XL30 Thin an...,"₹29,990","₹20,990",30% off,4.1,Intel Celeron Quad Core Processor (11th Gen),Intel Celeron Quad Core Processor (11th Gen)4 GB LPDDR4X RAMWindows 11 Operating System128 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
CHUWI Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,"₹49,990","₹24,990",50% off,4.4,Intel Core i3 Processor (10th Gen),"Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty"
Lenovo Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 10 Home) E41-55 Thin and Light Laptop,"₹35,000","₹18,999",45% off,3.8,AMD Athlon Dual Core Processor,AMD Athlon Dual Core Processor4 GB DDR4 RAMWindows 10 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty
ASUS Chromebook Touch Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C523NA-A20303 Chro...,"₹30,990","₹18,990",38% off,3.8,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB LPDDR4 RAMChrome Operating System39.62 cm (15.6 inch) Touchscreen Display1 Year Onsite Warranty
Lenovo Athlon Dual Core - (4 GB/256 GB SSD/DOS) E41-55 45-2 Laptop,"₹38,000","₹18,990",50% off,3.8,AMD Athlon Dual Core Processor,AMD Athlon Dual Core Processor4 GB DDR4 RAMDOS Operating System256 GB SSD35.56 cm (14 inch) Displayon site
Avita SATUS S111 Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-CG Laptop,"₹29,990","₹16,490",45% off,3.7,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Operating System128 GB SSD35.81 cm (14.1 Inch) Display1 Year Onsite Warranty
ASUS Chromebook Touch Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA-BZ0522 Chro...,"₹29,990","₹17,990",40% off,3.9,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB LPDDR4 RAMChrome Operating System35.56 cm (14 inch) Touchscreen Display1 Year Onsite Warranty
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home) ZL12 B...,"₹1,49,990","₹94,990",36% off,4.3,Intel Core i9 Processor (12th Gen),Intel Core i9 Processor (12th Gen)32 GB LPDDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
Avita SATUS S111 Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-SG Laptop,"₹29,990","₹16,490",45% off,3.7,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Operating System128 GB SSD35.81 cm (14.1 Inch) Display1 Year Domestic Warranty
ASUS EeeBook 12 Celeron Dual Core 4th Gen - (4 GB/64 GB EMMC Storage/Windows 10 Home) E210MA-GJ012T Th...,"₹25,990","₹17,990",30% off,3.9,Intel Celeron Dual Core Processor (4th Gen),"Intel Celeron Dual Core Processor (4th Gen)4 GB DDR4 RAM64 bit Windows 10 Operating System29.46 cm (11.6 inch) DisplaySystem Diagnosis (All Models), Splendid (All models), Tru2Life (Intel Platform Models), Link to MyASUS (All Models, Bluetooth Needed)1 Year Onsite Warranty"
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,"₹44,990","₹27,990",37% off,4.2,Intel Core i3 Processor (10th Gen),Intel Core i3 Processor (10th Gen)8 GB LPDDR4X RAM64 bit Windows 11 Operating System256 GB SSD86.84 cm (34.19 cm) Display1 Year Onsite Warranty
Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,"₹24,990","₹13,990",44% off,4.1,MediaTek MediaTek MT8788 Processor,MediaTek MediaTek MT8788 Processor4 GB LPDDR4 RAMPrime OS Operating System29.46 cm (11.6 Inch) Display1 Year Pick and Drop Warranty
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,"₹25,451","₹22,490",11% off,3.7,MediaTek MediaTek Kompanio 500 Processor,MediaTek MediaTek Kompanio 500 Processor4 GB LPDDR4X RAMChrome Operating System29.46 cm (11.6 inch) Touchscreen Display1 Year Onsite Warranty
Lenovo Athlon Dual Core - (4 GB/1 TB HDD/DOS) 82FJ009JIH Business Laptop,"₹29,999","₹18,990",36% off,4.7,AMD Athlon Dual Core Processor,AMD Athlon Dual Core Processor4 GB DDR4 RAMDOS Operating System1 TB HDD35.56 cm (14 inch) Display1 Year Domestic
Avita SATUS S111 Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-CS Laptop,"₹29,990","₹16,490",45% off,3.7,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Operating System128 GB SSD35.81 cm (14.1 Inch) Display1 Year Onsite Warranty
Avita PURA E 14 Ryzen 5 Quad Core 3rd Gen - (8 GB/512 GB SSD/Windows 10) NS14A6INV561-SGC Thin and Lig...,"₹32,500","₹16,990",47% off,3.5,AMD Ryzen 5 Quad Core Processor (3rd Gen),AMD Ryzen 5 Quad Core Processor (3rd Gen)8 GB DDR4 RAMWindows 10 Operating System512 GB SSD35.81 cm (14.1 inch) Display1 Year Domestic Warranty
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen - (4 GB/128 GB SSD/Windows 11 Home) XL30 Thin an...,"₹29,990","₹20,990",30% off,4.1,Intel Celeron Quad Core Processor (11th Gen),Intel Celeron Quad Core Processor (11th Gen)4 GB LPDDR4X RAMWindows 11 Operating System128 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,"₹24,990","₹13,990",44% off,4.1,MediaTek MediaTek MT8788 Processor,MediaTek MediaTek MT8788 Processor4 GB LPDDR4 RAMPrime OS Operating System29.46 cm (11.6 Inch) Display1 Year Pick and Drop Warranty
Avita PURA APU Dual Core A6 - (4 GB/128 GB SSD/Windows 10 Home) NS14A6ING431-SGC Thin and Light Laptop,"₹27,990","₹18,390",34% off,3.6,AMD APU Dual Core A6 Processor,AMD APU Dual Core A6 Processor4 GB DDR4 RAM64 bit Windows 10 Operating System128 GB SSD35.56 cm (14 inches) Display2 Year Warranty
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11A-NA0002MU Chromebook,"₹25,451","₹18,250",28% off,3.7,MediaTek MediaTek Kompanio 500 Processor,"MediaTek MediaTek Kompanio 500 Processor4 GB DDR4 RAM32 bit Chrome Operating System29.46 cm (11.6 inch) Touchscreen DisplayPre-installed G-suite Apps, Linux Kernel and Apps, Chrome Web Extensions, Google Play Store, HP Audio Switch, HP ePrint, HP Support Assistant, Dropbox1 Year Onsite Warranty"
Infinix INBook X1 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,"₹59,999","₹43,199",28% off,4.1,Intel Core i5 Processor (10th Gen),Intel Core i5 Processor (10th Gen)8 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1 year Onsite Warranty
Infinix X1 Slim Series Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop,"₹49,999","₹35,990",28% off,4.3,Intel Core i3 Processor (10th Gen),Intel Core i3 Processor (10th Gen)8 GB LPDDR4X RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Onsite Warranty
CHUWI Celeron Dual Core 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹34,990","₹19,990",42% off,N/A,Intel Celeron Dual Core Processor (10th Gen),Intel Celeron Dual Core Processor (10th Gen)8 GB DDR4 RAMWindows 11 Operating System256 GB SSD35.81 cm (14.1 inch) Display1 Year Onsite Warranty
Lenovo IdeaPad 3 Chromebook Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) ideapad 3 cb...,"₹30,690","₹13,990",54% off,3.5,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB LPDDR4 RAMChrome Operating System29.46 cm (11.6 Inch) Display1 Year Onsite�Warranty
HP 247 G8 Athlon Dual Core - (8 GB/1 TB HDD/Windows 11 Home) 247 G8 Notebook Notebook,"₹33,267","₹23,690",28% off,3.7,AMD Athlon Dual Core Processor,AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System1 TB HDD35.56 cm (14 inch) DisplayWindows1 Year Onsite Warranty
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and...,"₹26,390","₹24,490",7% off,4.1,Intel Celeron Quad Core Processor (11th Gen),Intel Celeron Quad Core Processor (11th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
HP Athlon Dual Core 3050U - (4 GB/256 GB SSD/DOS) 255 G8 Notebook,"₹30,099","₹21,999",26% off,3.8,AMD Athlon Dual Core Processor,AMD Athlon Dual Core Processor4 GB DDR4 RAMDOS Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,"₹33,990","₹24,990",26% off,4.1,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty
Lenovo Lenovo V15 Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop,"₹42,032","₹23,490",44% off,3.9,Intel Celeron Dual Core Processor (4th Gen),Intel Celeron Dual Core Processor (4th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 inch) Display1 Years
ASUS (2022) Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) BR1100CKA-GJ0722W Laptop,"₹30,990","₹20,990",32% off,4.2,Intel Celeron Dual Core Processor,Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Operating System128 GB SSD29.46 cm (11.6 Inch) Display1 Year Onsite Warranty
